viruses,AG_x,AG_y
BI/16190/68,255.51219,333.82712
BI/21793/72,253.21008,334.8668
BI/1761/76,251.91904,339.43457
BI/2271/76,249.29291,339.75284
NL/233/82,247.27016,341.4549
NL/620/89,251.4247,346.58084
NL/823/92,248.24693,350.12314
NL/179/93,255.36667,351.97754
A/WELLINGTON/1/94,256.28238,352.71362
A/BRISBANE/22/94,256.05386,353.01868
JO/33/94,257.6066,352.12842
SD/9/93,257.68085,351.49963
A/WELLINGTON/25/93,256.251,352.92752
A/WELLINGTON/96/93,257.294,350.6659
A/VICTORIA/9/94,256.2094,352.7411
A/BRISBANE/22/96,252.20378,353.1772
WU/359/95,251.91289,352.938
A/WELLINGTON/48/96,251.78113,353.7219
A/AUCKLAND/5/96,251.8619,350.05368
A/VICTORIA/47/97,250.26804,351.7039
A/CANBERRA/1/96,252.32309,349.62762
A/PERTH/5/97,251.92183,353.23245
A/PERTH/9/97,251.55783,354.53934
A/BANGKOK/1/97,251.55327,351.97192
A/CHRISTCHURCH/1/96,250.88033,354.64362
A/TASMANIA/1/97,248.56596,352.77466
NA/933/95,252.23535,353.07324
NL/301/99,248.54607,359.0078
A/CANBERRA/9/97,249.22351,358.9784
A/SYDNEY/5/97,248.74979,359.0095
PM/2007/99,246.82886,359.10745
A/SOUTH_AUSTRALIA/84/2002,248.92195,358.5279
A/FUJIAN/140/2000,244.03493,360.84558
A/SOUTH_AUSTRALIA/53/2001,248.84299,359.40985
A/VICTORIA/507/98,248.24377,358.81555
A/SYDNEY/228/2000,248.07542,360.25726
A/TOWNSVILLE/2/99,246.37222,360.3277
A/CHRISTCHURCH/68/99,248.19815,360.23486
A/VICTORIA/577/99,244.84526,359.87027
NL/213/03,250.84221,360.95596
A/PHILIPPINES/427/2002_MDCK,248.22192,361.47168
A/WYOMING/3/2003,252.1854,361.1366
A/AUCKLAND/20/2003,251.15652,360.80585
FU/411/02,249.13725,361.69034
A/PHILIPPINES/472/2002_EGG,249.87228,360.1908
A/TOWNSVILLE/36/2003,249.70132,360.07373
A/VICTORIA/110/2004,250.41493,360.8396
A/BRISBANE/342/2003,248.38889,360.70255
A/TOWNSVILLE/4/2002,248.17484,361.29803
A/NEWCALEDONIA/12/2004,249.54065,361.53607
A/FUKUOKA/55/2002,249.79713,361.10986
A/CALIFORNIA/7/2004,253.80896,362.90692
A/SINGAPORE/37/2004,253.89946,362.24496
A/VICTORIA/523/2004,253.74289,362.1652
A/BRISBANE/3/2005,253.44098,363.29684
A/NEW_YORK/55/2004,253.92973,362.8626
A/BRISBANE/10/2007,252.25,367.54858
A/WISCONSIN/67/2005,252.80379,363.67255
A/VICTORIA/500/2009,252.86978,369.31
A/PERTH/27/2007,253.13467,368.54633
A/URUGUAY/716/2007,252.40417,364.09958
A/VICTORIA/208/2009,251.03929,369.03085
A/VICTORIA/8/2010,251.55493,369.45297
A/PERTH/16/2009,247.25018,370.27988
A/VICTORIA/361/2011,251.08226,367.7869
A/BRISBANE/5/2002,248.84074,361.3052
A/WELLINGTON/1/2004,252.03444,362.04205
A/BEIJING/32/92,257.4175,350.52634
A/VICTORIA/1/93,259.9535,349.96085
PROTOTYPE_RG145K_A/NETHERLANDS/178/95,253.7896,351.63446
VN015/EL134/2008,251.71213,364.82806
VN016/EL135/2008,251.26958,365.40567
VN017/EL140/2008,251.6187,365.26825
HN196/2009,251.66202,365.57376
HN201/2009,249.58057,369.91528
VN018/EL204/2009,248.36444,368.40735
HN206/2009,247.26923,368.93127
VN019/EL442/2010,248.53543,368.392
VN020/EL443/2010,249.40242,369.5576
VN021/EL444/2010,248.88802,368.18793
VN053/2010,249.85483,369.11188